filename,gt_label,inlier_ratio,rss
frame_00121_straight_raw.png,straight,0.7273,347.1
frame_00122_straight_raw.png,straight,0.8462,186.6
frame_00123_straight_raw.png,straight,0.7000,297.5
frame_00124_straight_raw.png,straight,0.7500,117.9
frame_00125_straight_raw.png,straight,0.7778,237.3
frame_00126_straight_raw.png,straight,0.7500,113.7
frame_00127_straight_raw.png,straight,0.7143,196.3
frame_00128_straight_raw.png,straight,0.5556,237.9
frame_00129_straight_raw.png,straight,0.6667,151.4
frame_00130_straight_raw.png,straight,0.8000,246.9
frame_00131_straight_raw.png,straight,0.6667,166.6
frame_00132_straight_raw.png,straight,0.7273,414.0
frame_00133_straight_raw.png,straight,0.8182,199.0
frame_00134_straight_raw.png,straight,0.7273,374.1
frame_00135_straight_raw.png,straight,0.7000,207.5
frame_00136_straight_raw.png,straight,0.8889,116.9
frame_00137_straight_raw.png,straight,0.7778,180.6
frame_00138_straight_raw.png,straight,0.7000,127.8
frame_00139_straight_raw.png,straight,0.7778,180.5
frame_00140_straight_raw.png,straight,0.7778,157.6
frame_00141_straight_raw.png,straight,0.6667,265.7
frame_00142_straight_raw.png,straight,0.7778,143.6
frame_00143_straight_raw.png,straight,0.6667,240.3
frame_00144_straight_raw.png,straight,0.7000,146.9
frame_00145_straight_raw.png,straight,0.8182,340.4
frame_00146_straight_raw.png,straight,0.7778,140.1
frame_00147_straight_raw.png,straight,0.8182,322.1
frame_00148_straight_raw.png,straight,0.6667,149.6
frame_00149_straight_raw.png,straight,0.7273,309.1
frame_00150_straight_raw.png,straight,0.8000,163.0
frame_00151_straight_raw.png,straight,0.8000,150.3
frame_00152_straight_raw.png,straight,0.8182,242.0
frame_00153_straight_raw.png,straight,0.9000,149.5
frame_00154_straight_raw.png,straight,0.7778,205.2
frame_00155_straight_raw.png,straight,0.8182,185.1
frame_00156_straight_raw.png,straight,0.7000,280.0
frame_00157_straight_raw.png,straight,0.8182,191.6
frame_00158_straight_raw.png,straight,0.7500,423.4
frame_00159_straight_raw.png,straight,0.7000,204.4
frame_00160_straight_raw.png,straight,0.7500,417.3
frame_00161_straight_raw.png,straight,0.8000,186.1
frame_00162_straight_raw.png,straight,0.7500,132.3
frame_00163_straight_raw.png,straight,0.8000,215.8
frame_00164_straight_raw.png,straight,0.7778,127.3
frame_00165_straight_raw.png,straight,0.8000,282.2
frame_00166_straight_raw.png,straight,0.8000,160.0
frame_00167_straight_raw.png,straight,0.8000,284.2
frame_00168_straight_raw.png,straight,0.7778,143.0
frame_00169_straight_raw.png,straight,0.6364,346.9
frame_00170_straight_raw.png,straight,0.7000,167.3
frame_00171_straight_raw.png,straight,0.7000,369.1
frame_00172_straight_raw.png,straight,0.6667,192.0
frame_00173_straight_raw.png,straight,0.7273,398.5
frame_00174_straight_raw.png,straight,0.7000,249.9
frame_00175_straight_raw.png,straight,0.7000,391.5
frame_00176_straight_raw.png,straight,0.7000,190.1
frame_00177_straight_raw.png,straight,0.7778,108.3
frame_00178_straight_raw.png,straight,0.7778,166.8
frame_00179_straight_raw.png,straight,0.7500,80.2
frame_00180_straight_raw.png,straight,0.7500,164.6
frame_00181_straight_raw.png,straight,0.8571,73.8
frame_00182_straight_raw.png,straight,0.7143,137.3
frame_00183_straight_raw.png,straight,0.7778,180.0
frame_00184_straight_raw.png,straight,0.6000,409.3
frame_00185_straight_raw.png,straight,0.6364,203.2
frame_00186_straight_raw.png,straight,0.7500,500.8
frame_00187_straight_raw.png,straight,0.7000,314.3
frame_00188_straight_raw.png,straight,0.7500,510.3
frame_00189_straight_raw.png,straight,0.7000,268.3
frame_00190_straight_raw.png,straight,0.7778,154.6
frame_00191_straight_raw.png,straight,0.8000,303.3
frame_00192_straight_raw.png,straight,0.6667,129.0
frame_00193_straight_raw.png,straight,0.7000,324.6
frame_00194_straight_raw.png,straight,0.8000,150.9
frame_00195_straight_raw.png,straight,0.8000,369.6
frame_00196_straight_raw.png,straight,0.7273,233.7
frame_00197_straight_raw.png,straight,0.7000,441.4
frame_00198_straight_raw.png,straight,0.7273,274.2
frame_00199_straight_raw.png,straight,0.7273,484.7
frame_00200_straight_raw.png,straight,0.8000,266.5
frame_00201_straight_raw.png,straight,0.8182,423.2
frame_00202_straight_raw.png,straight,0.7000,288.0
frame_00203_straight_raw.png,straight,0.6667,141.9
frame_00204_straight_raw.png,straight,0.7273,356.9
frame_00205_straight_raw.png,straight,0.8000,173.4
frame_00206_straight_raw.png,straight,0.6667,281.1
frame_00207_straight_raw.png,straight,0.6667,154.1
frame_00208_straight_raw.png,straight,0.7000,394.5
frame_00209_straight_raw.png,straight,0.8000,210.5
frame_00210_straight_raw.png,straight,0.6000,446.4
frame_00211_straight_raw.png,straight,0.6000,309.5
frame_00212_straight_raw.png,straight,0.7273,493.4
frame_00213_straight_raw.png,straight,0.7000,321.1
frame_00214_straight_raw.png,straight,0.7778,141.6
frame_00215_straight_raw.png,straight,0.8000,320.1
frame_00216_straight_raw.png,straight,0.7778,139.6
frame_00217_straight_raw.png,straight,0.6667,232.4
frame_00218_straight_raw.png,straight,0.6250,122.5
frame_00219_straight_raw.png,straight,0.7000,288.8
frame_00220_straight_raw.png,straight,0.9000,121.9
frame_00221_straight_raw.png,straight,0.7500,187.7
frame_00222_straight_raw.png,straight,0.7500,89.8
frame_00223_straight_raw.png,straight,0.5714,174.1
frame_00224_straight_raw.png,straight,0.6667,49.3
frame_00225_straight_raw.png,straight,0.6667,97.4
frame_00226_straight_raw.png,straight,0.8333,25.8
frame_00227_straight_raw.png,straight,0.8750,56.7
frame_00228_straight_raw.png,straight,0.8571,36.1
frame_00229_straight_raw.png,straight,0.6667,59.5
frame_00230_straight_raw.png,straight,0.8000,54.5
frame_00231_straight_raw.png,straight,0.8333,53.5
frame_00232_straight_raw.png,straight,0.7500,117.8
frame_00233_straight_raw.png,straight,0.6250,181.5
frame_00234_straight_raw.png,straight,0.7692,514.3
