frame_time,error
9.332669997820630670e-02,0.000000000000000000e+00
1.164361999835819006e-01,0.000000000000000000e+00
1.297869000118225813e-01,0.000000000000000000e+00
9.680290002143010497e-02,0.000000000000000000e+00
1.051869000075384974e-01,0.000000000000000000e+00
1.028255000128410757e-01,0.000000000000000000e+00
2.635825999896042049e-01,0.000000000000000000e+00
1.109297999646514654e-01,0.000000000000000000e+00
1.076292999787256122e-01,0.000000000000000000e+00
1.146848000353202224e-01,0.000000000000000000e+00
1.063264000113122165e-01,0.000000000000000000e+00
1.827048999839462340e-01,0.000000000000000000e+00
9.634440002264454961e-02,0.000000000000000000e+00
9.749630000442266464e-02,0.000000000000000000e+00
1.075182000058703125e-01,0.000000000000000000e+00
1.071171000367030501e-01,0.000000000000000000e+00
1.026503999601118267e-01,0.000000000000000000e+00
1.083617999684065580e-01,0.000000000000000000e+00
2.535596000379882753e-01,0.000000000000000000e+00
1.074174999957904220e-01,0.000000000000000000e+00
2.105865000048652291e-01,0.000000000000000000e+00
1.063091999967582524e-01,0.000000000000000000e+00
1.109900999581441283e-01,0.000000000000000000e+00
6.177496000309474766e-01,0.000000000000000000e+00
6.681007999577559531e-01,0.000000000000000000e+00
6.817574000451713800e-01,0.000000000000000000e+00
6.741449999972246587e-01,0.000000000000000000e+00
7.158303000032901764e-01,0.000000000000000000e+00
6.788434999762102962e-01,0.000000000000000000e+00
6.956549999886192381e-01,0.000000000000000000e+00
7.075771000236272812e-01,0.000000000000000000e+00
6.759240999817848206e-01,0.000000000000000000e+00
6.665974999777972698e-01,0.000000000000000000e+00
6.846479999949224293e-01,0.000000000000000000e+00
6.998865000205114484e-01,0.000000000000000000e+00
6.930896999547258019e-01,0.000000000000000000e+00
7.129184000077657402e-01,0.000000000000000000e+00
6.759490999975241721e-01,0.000000000000000000e+00
6.642809000331908464e-01,0.000000000000000000e+00
6.998210999881848693e-01,0.000000000000000000e+00
7.348962000105530024e-01,0.000000000000000000e+00
6.670759999542497098e-01,0.000000000000000000e+00
6.860722000128589571e-01,0.000000000000000000e+00
6.967782999854534864e-01,0.000000000000000000e+00
6.934606999857351184e-01,0.000000000000000000e+00
7.269914000062271953e-01,0.000000000000000000e+00
6.998854000121355057e-01,0.000000000000000000e+00
6.887587000383064151e-01,0.000000000000000000e+00
6.845195000059902668e-01,0.000000000000000000e+00
7.260218000155873597e-01,0.000000000000000000e+00
7.003769000293686986e-01,0.000000000000000000e+00
6.951964000472798944e-01,0.000000000000000000e+00
7.180418999632820487e-01,0.000000000000000000e+00
6.905155999702401459e-01,0.000000000000000000e+00
6.801769000012427568e-01,0.000000000000000000e+00
