frame_time,error
9.636040002806112170e-02,0.000000000000000000e+00
1.100495000137016177e-01,0.000000000000000000e+00
9.284019999904558063e-02,0.000000000000000000e+00
8.995409996714442968e-02,0.000000000000000000e+00
9.679999999934807420e-02,0.000000000000000000e+00
1.048501000041142106e-01,0.000000000000000000e+00
9.186569997109472752e-02,0.000000000000000000e+00
9.096310002496466041e-02,0.000000000000000000e+00
9.366430004592984915e-02,0.000000000000000000e+00
8.913570002187043428e-02,0.000000000000000000e+00
9.030109999002888799e-02,0.000000000000000000e+00
9.459900000365450978e-02,0.000000000000000000e+00
9.285329998238012195e-02,0.000000000000000000e+00
1.004220999893732369e-01,0.000000000000000000e+00
1.017700999509543180e-01,0.000000000000000000e+00
9.981819998938590288e-02,0.000000000000000000e+00
1.016957999672740698e-01,0.000000000000000000e+00
9.711129998322576284e-02,0.000000000000000000e+00
9.451520000584423542e-02,0.000000000000000000e+00
9.989060001680627465e-02,0.000000000000000000e+00
1.008317000232636929e-01,0.000000000000000000e+00
9.500949998619034886e-02,0.000000000000000000e+00
1.054904999909922481e-01,0.000000000000000000e+00
1.026931999949738383e-01,0.000000000000000000e+00
9.253140003420412540e-02,0.000000000000000000e+00
1.086220000288449228e-01,0.000000000000000000e+00
9.678040002472698689e-02,0.000000000000000000e+00
1.094090999686159194e-01,0.000000000000000000e+00
6.097816000110469759e-01,0.000000000000000000e+00
6.338012000196613371e-01,0.000000000000000000e+00
6.675855999928899109e-01,0.000000000000000000e+00
7.337407000013627112e-01,0.000000000000000000e+00
6.971849999972619116e-01,0.000000000000000000e+00
6.663080999860540032e-01,0.000000000000000000e+00
7.054444000241346657e-01,0.000000000000000000e+00
6.867830000119283795e-01,0.000000000000000000e+00
6.828282999922521412e-01,0.000000000000000000e+00
7.135147000080905855e-01,0.000000000000000000e+00
6.843552999780513346e-01,0.000000000000000000e+00
6.935324000078253448e-01,0.000000000000000000e+00
7.031406000023707747e-01,0.000000000000000000e+00
6.910664999741129577e-01,8.730960059573300569e-03
6.932219999725930393e-01,3.605856397394369139e-02
6.984141999855637550e-01,7.569925797159959835e-02
6.948566000210121274e-01,1.227052302704279008e-01
7.122660999884828925e-01,1.762803090604612155e-01
7.280473000137135386e-01,2.314632852405762442e-01
6.974767000065185130e-01,2.822093683239390582e-01
6.624846999766305089e-01,3.224258618200215309e-01
7.090394000406377017e-01,3.560106009628734025e-01
6.886212999816052616e-01,3.849028999455403888e-01
6.922392999986186624e-01,4.067089789824469559e-01
7.059791000210680068e-01,4.214168535608082689e-01
6.793182000401429832e-01,4.324909206626281755e-01
6.894835999701172113e-01,4.396054396328217262e-01
6.900816999841481447e-01,4.439138204078871830e-01
6.788565000169910491e-01,4.420820442273942774e-01
6.966810000012628734e-01,4.375911006525081692e-01
1.914155000122264028e-01,4.330855335931997896e-01
